mid,x,y,z,xxx,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,sgz
-1,-100,-100,-100,"-1,-1,-1",-1,0,-127,-2,-2,0,78,81,162,70,81,56.21,9,-48.00,1.00,-1003.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,-2,-2,0,78,82,145,70,81,56.14,10,-43.00,1.00,-1004.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,-2,-2,0,78,82,104,70,81,56.24,10,-45.00,5.00,-998.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,-2,-2,0,78,82,97,70,81,56.25,10,-51.00,-4.00,-976.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,-2,-2,0,78,82,96,70,81,56.29,10,-38.00,11.00,-1010.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,-2,-2,0,78,82,97,70,81,56.28,10,-37.00,-13.00,-970.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,-2,-2,0,78,82,97,70,81,56.35,10,-38.00,-23.00,-984.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,-2,-2,0,78,82,98,70,81,56.37,10,-31.00,2.00,-1004.00,
-1,-100,-100,-100,"-1,-1,-1",0,-1,-127,-2,-1,0,78,82,98,70,81,56.32,10,-15.00,-16.00,-961.00,
-1,-100,-100,-100,"-1,-1,-1",1,-2,-127,-2,-1,0,78,82,99,70,81,56.38,10,-26.00,10.00,-1054.00,
-1,-100,-100,-100,"-1,-1,-1",3,1,-127,-1,0,0,78,82,99,70,81,56.41,10,-25.00,28.00,-1004.00,
-1,-100,-100,-100,"-1,-1,-1",2,2,-127,-1,0,0,78,81,100,70,81,56.35,11,4.00,-23.00,-998.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,100,70,81,56.33,11,22.00,-12.00,-987.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,100,70,81,56.32,11,-7.00,-16.00,-976.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,100,70,81,56.27,11,-9.00,-3.00,-971.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,99,70,81,56.27,11,-10.00,-7.00,-970.00,
-1,-100,-100,-100,"-1,-1,-1",0,-1,-127,0,0,0,78,81,98,80,81,56.31,11,-3.00,7.00,-979.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,97,70,81,56.28,11,-9.00,15.00,-1005.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,96,70,81,56.30,11,-4.00,-26.00,-968.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,95,70,81,56.28,11,0.00,6.00,-1007.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,94,70,81,56.23,11,21.00,-1.00,-989.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,1,78,82,92,70,81,56.28,12,-5.00,5.00,-1027.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,91,70,81,56.21,12,-2.00,2.00,-1027.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,91,70,81,56.21,12,10.00,-2.00,-999.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,90,70,81,56.21,12,13.00,-6.00,-1029.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,90,70,81,56.23,12,-1.00,-11.00,-1011.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,89,70,81,56.18,12,-8.00,-5.00,-1004.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,89,70,81,56.16,12,15.00,2.00,-994.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,89,70,81,56.12,12,-13.00,-1.00,-1009.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,89,70,81,56.19,12,-7.00,-3.00,-1005.00,
-1,-100,-100,-100,"-1,-1,-1",-1,0,-127,0,0,0,78,82,90,70,81,56.21,12,-11.00,0.00,-1017.00,
-1,-100,-100,-100,"-1,-1,-1",-1,0,-127,0,0,0,79,82,90,70,81,56.18,13,-9.00,1.00,-1004.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,79,82,90,70,81,56.19,13,-2.00,11.00,-1015.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,79,82,90,70,81,56.16,13,-3.00,-6.00,-989.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,79,82,90,70,81,56.13,13,-10.00,4.00,-1011.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,79,82,90,70,81,56.15,13,-8.00,0.00,-1001.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,79,82,90,70,81,56.21,13,0.00,14.00,-1017.00,
